LogID,LicensePlate,Gate_ID,TimeStamp,Outcome,Reason
1,NOA186,G003,2025-11-24 20:07:58,0,Access Granted
2,MEU784,G006,2025-12-10 20:07:58,0,Access Granted
3,RCO081,G001,2025-12-14 20:07:58,1,Gate Closed
4,LLC215,G008,2025-11-22 20:07:58,0,Access Granted
5,AEK655,G003,2025-11-29 20:07:58,0,Access Granted
6,GPT013,G003,2025-11-25 20:07:58,1,No Permission for this Zone
7,RCO081,G005,2025-12-18 20:07:58,1,User Account Suspended
8,CJN005,G001,2025-11-29 20:07:58,0,Access Granted
9,WWK487,G007,2025-12-13 20:07:58,0,Access Granted
10,VSF998,G005,2025-12-18 20:07:58,0,Access Granted
11,CMZ771,G006,2025-12-11 20:07:58,1,Restricted Time
12,WEW273,G005,2025-12-03 20:07:58,1,User Account Suspended
13,CJN005,G001,2025-11-30 20:07:58,0,Access Granted
14,OFU968,G007,2025-12-03 20:07:58,0,Access Granted
15,OGK861,G001,2025-11-30 20:07:58,1,No Permission for this Zone
16,CGQ101,G007,2025-12-16 20:07:58,0,Access Granted
17,WFY098,G001,2025-12-18 20:07:58,0,Access Granted
18,RCQ697,G007,2025-12-02 20:07:58,0,Access Granted
19,KWB078,G006,2025-12-19 20:07:58,1,Vehicle is NOT found
20,MCE791,G001,2025-12-14 20:07:58,0,Access Granted
21,CTA496,G004,2025-11-27 20:07:58,0,Access Granted
22,OGK861,G007,2025-12-11 20:07:58,0,Access Granted
23,LPT984,G008,2025-12-13 20:07:58,1,Gate Closed
24,CZU447,G003,2025-12-01 20:07:58,0,Access Granted
25,RCO081,G007,2025-12-20 20:07:58,0,Access Granted
26,LPT984,G003,2025-11-26 20:07:58,0,Access Granted
27,VSF998,G002,2025-11-22 20:07:58,0,Access Granted
28,XRG111,G002,2025-11-28 20:07:58,1,Gate Closed
29,ZGD712,G006,2025-11-22 20:07:58,0,Access Granted
30,BNJ235,G008,2025-11-22 20:07:58,0,Access Granted
31,DEJ323,G008,2025-12-13 20:07:58,0,Access Granted
32,MEU784,G007,2025-12-17 20:07:58,0,Access Granted
33,DEJ323,G002,2025-12-10 20:07:58,1,Vehicle is NOT found
34,VSF998,G007,2025-11-30 20:07:58,0,Access Granted
35,DEJ323,G008,2025-12-10 20:07:58,0,Access Granted
36,WWK487,G003,2025-12-05 20:07:58,0,Access Granted
37,CGQ101,G006,2025-12-09 20:07:58,0,Access Granted
38,XRG111,G004,2025-12-05 20:07:58,0,Access Granted
39,PEJ330,G007,2025-11-29 20:07:58,0,Access Granted
40,UCV643,G004,2025-11-26 20:07:58,0,Access Granted
41,MEU784,G006,2025-12-08 20:07:58,0,Access Granted
42,BNJ235,G002,2025-12-18 20:07:58,0,Access Granted
43,BNJ235,G007,2025-12-01 20:07:58,1,No Permission for this Zone
44,RCO081,G002,2025-11-25 20:07:58,0,Access Granted
45,GPT013,G004,2025-12-12 20:07:58,0,Access Granted
46,ABT952,G002,2025-12-11 20:07:58,1,Vehicle is NOT found
47,SNF203,G005,2025-12-15 20:07:58,0,Access Granted
48,AEK655,G006,2025-12-06 20:07:58,0,Access Granted
49,CZU447,G004,2025-11-27 20:07:58,1,No Permission for this Zone
50,SNF203,G005,2025-12-03 20:07:58,0,Access Granted
